Id,Title,Author
57,All the Crooked Saints,Maggie Stiefvater
58,Emily Windsnap and the Siren's Secret,Liz Kessler
59,Reign of Blood,Alexia Purdy
60,Guardian,Alex London
61,Evna,Siri Pettersen
62,Violet Eyes:  A Retelling of The Princess and the Pea,Debbie ViguiÃ©
63,Black as Night,Regina Doman
64,The Shadow Society,Marie Rutkoski
65,Eve & Adam,Michael  Grant
66,Snow White and Rose Red,Patricia C. Wrede
67,Born of Fire,Sherrilyn Kenyon
68,"New Moon: The Graphic Novel, Vol. 2",Young Kim
69,A Witch's Beauty,Joey W. Hill
70,"Maximum Ride, Vol. 2",NaRae Lee
71,Glitch,Heather Anastasiu
72,The Mad Scientist's Daughter,Cassandra Rose Clarke
73,The Love That Split the World,Emily Henry
74,Seven Daughters and Seven Sons,Barbara Cohen
75,The Demon's Lexicon,Sarah Rees Brennan
76,"The Vampire Diaries, Volumes 1-4",L.J. Smith
77,The Leveller,Julia Durango
78,Forbidden Nights with a Vampire,Kerrelyn Sparks
79,Vampire Instinct,Joey W. Hill
80,Les Disparus du Clairdelune,Christelle Dabos
81,Dark Symphony,Christine Feehan
82,Princess for Hire,Lindsey Leavitt
83,Kill Me Softly,Sarah Cross
84,Academy 7,Anne Osterlund
85,Incarnate,Jodi Meadows
86,Le Livre de Perle,TimothÃ©e de Fombelle
87,Oblivion,Jennifer L. Armentrout
88,Beloved Vampire,Joey W. Hill
89,Kingdom of the Golden Dragon,Isabel Allende
90,If I Should Die,Amy Plum
91,Mercury's War,Lora Leigh
92,A Mermaid's Ransom,Joey W. Hill
93,Old Magic,Marianne Curley
94,Black Swan Rising,Lee  Carroll
95,Darkness Breaks,Jessica Sorensen
96,Warrior Witch,Danielle L. Jensen
97,A Mermaid's Kiss,Joey W. Hill
98,The Resistance,Gemma Malley
99,The Changeling Sea,Patricia A. McKillip
100,A Vampire's Claim,Joey W. Hill
101,Darkness Before Dawn,J.A. London
102,Darkness Falls,Jessica Sorensen
103,Deception,C.J. Redwine
104,Dreamer's Pool,Juliet Marillier
105,The Swan Kingdom,ZoÃ« Marriott
106,Tributary,Lisa Tawn Bergren
107,Ice,Sarah Beth Durst
108,The Woman Who Loved Reindeer,Meredith Ann Pierce
109,"Ashes, Ashes",Jo Treggiari
110,The Key,Jennifer Anne Davis
111,Den of Wolves,Juliet Marillier
112,Wildwing,Emily Whitman
113,Deadly Little Voices,Laurie Faria Stolarz
114,Rise,Anna Carey
115,Intwine,Christina Moss
116,"Blood, Body and Mind",Kathi S. Barton
117,The Shadow of the Bear,Regina Doman
118,Damien,Jacquelyn Frank
119,Legend Trilogy Boxed Set,Marie Lu
120,The Falconer,Elizabeth May
121,Life Sucks,Jessica Abel
122,His Purrfect Mate,Laurann Dohner
123,The Golden Spiral,Lisa Mangum
124,The Girl With Glass Feet,Ali Shaw
125,Inherit the Stars,Tessa Elwood
126,The Vanishing Throne,Elizabeth May
127,Red River,Chie Shinohara
128,The Glass Swallow,Julia Golding
129,The Originals,Cat Patrick
130,The Prey,Andrew Fukuda
131,Unraveling Isobel,Eileen Cook
132,Immortal,Christopher Golden
133,Bourne,Lisa Tawn Bergren
134,The Hunt,Andrew Fukuda
135,The Trap,Andrew Fukuda
136,Earth Star,Janet  Edwards
137,Palace of Stone,Shannon Hale
138,Ash Princess,Laura Sebastian
139,Shadows in the Silence,Courtney Allison Moulton
140,The Warlord Wants Forever,Kresley Cole
141,Twilight Phantasies,Maggie Shayne
142,Thirsty,M.T. Anderson
143,Unbreakable,Elizabeth Norris
144,Arcana Rising,Kresley Cole
145,My Boyfriend Merlin,Priya Ardis
146,This Shattered World,Amie Kaufman
147,"The Outlandish Companion: Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn",Diana Gabaldon
148,Day Zero,Kresley Cole
149,The Dark Calling,Kresley Cole
150,Il talismano del potere,Licia Troisi
151,Cicada,Belle Whittington
152,Dawn's Awakening,Lora Leigh
153,Just for Fins,Tera Lynn Childs
154,Rose Daughter,Robin McKinley
155,Birdwing,Rafe Martin
156,Midnight Sins,Cynthia Eden
157,Freak of Nature,Julia Crane
158,The Sin Eater's Daughter,Melinda Salisbury
159,Dark Magick,Cate Tiernan
160,Destined,Morgan Rice
161,Nightwalker,Jocelynn Drake
162,The Ill-Made Mute,Cecilia Dart-Thornton
163,Cinder and Ella,Melissa Lemon
164,The Compelled,L.J. Smith
165,Corruption,Jessica Shirvington
166,Amaury's Hellion,Tina Folsom
167,The House Next Door,Richie Tankersley Cusick
168,Daughter of the Flames,ZoÃ« Marriott
169,His Teddy Bear,Eve Langlais
170,Rook,Sharon Cameron
171,The Red Necklace,Sally Gardner
172,Found,Evangeline Anderson
173,War for the Oaks,Emma Bull
174,Enforcer,Lauren Dane
175,Jenny Pox,J.L. Bryan
176,The Rise of the Hotel Dumort,Cassandra Clare
177,Rebel Heart,Moira Young
178,Chime,Franny Billingsley
179,Inhuman,Kat Falls
180,Muse of Nightmares,Laini Taylor
181,Bloodlust,Alex Duval
182,Turned at Dark,C.C. Hunter
183,The Books of Bayern Box Set,Shannon Hale
184,Jonas,Eden Maguire
185,Chalice,Robin McKinley
186,Always a Witch,Carolyn MacCullough
187,Midnight's Master,Cynthia Eden
188,Samson's Lovely Mortal,Tina Folsom
189,Harmony's Way,Lora Leigh
190,Billy the Kid and the Vampyres of Vegas,Michael Scott
191,Sapphire Flames,Ilona Andrews
192,Warped,Maurissa Guibord
193,The Storyteller's Daughter: A Retelling of the Arabian Nights,Cameron Dokey
194,Team Human,Sarah Rees Brennan
195,The Pearl of the Soul of the World,Meredith Ann Pierce
196,Weaving Destiny,G.P. Ching
197,The Alchemy of Forever,Avery Williams
198,Switchers,Kate Thompson
199,iBoy,Kevin Brooks
200,Homecoming,Tonya Hurley
201,Summers at Castle Auburn,Sharon Shinn
202,The Moth Diaries,Rachel Klein
203,Mieradome,Kate O'Hegarty
204,Scent of a Vampire,Jude Stephens
205,Hunting Season,Shelly Laurenston
206,The Princess and the Hound,Mette Ivie Harrison
207,The Changeover,Margaret Mahy
208,Warriors of the Cross,T.R. Graves
209,Oddily,Linda Pohring
210,Tiger Moon,Antonia Michaelis
211,Bond of Blood,Diane Whiteside
212,Dark Angel's Ward,Nia Shay
213,Something About Witches,Joey W. Hill
214,Shadows Gray,Melyssa Williams
215,Golden Blood,Melissa Pearl
216,A Light into the Darkness,Shelly Goodman Wright
217,Love on the Dark Side,Mathilde Madden
218,Dissidence,Jamie Canosa
219,Delicate Devastation,Rose Wynters
220,Hidden Gates,D.T. Dyllin
221,Beyond,Maureen A. Miller
222,The Lost Dreamer,Elizabeth Paradise
223,The Daughter of Smoke and Bone Trilogy,Laini Taylor
224,The Girl with Borrowed Wings,Rinsai  Rossetti
225,The Healer,C.J. Anaya
226,Bengal's Quest,Lora Leigh
227,Friends With Boys,Faith Erin Hicks
228,Split Second,Sophie McKenzie
229,Under the Never Sky: The Complete Series Collection,Veronica Rossi
230,Candles of Rejuvenescence,Shizette Parker
231,The Glass Arrow,Kristen Simmons
232,Jane Unwrapped,Leah Rooper
233,The Stars Never Rise,Rachel Vincent
234,The Angelfall Trilogy,Susan Ee
235,Unlocking Adeline,J.D. Hollyfield
236,The Time Thief,Natalia Schellhaas
237,Wake of Vultures,Lila Bowen
238,Manners & Mutiny,Gail Carriger
239,Lunora and the Monster King,H.S. Crow
240,Road to Eugenica,A.M. Rose
241,Chasing the Stars,Malorie Blackman
242,Theirs to Protect,Stasia Black
243,The Servants,Michael Marshall Smith
244,Thief of Cahraman: A Retelling of Aladdin,Lucy Tempest
245,Four Dead Queens,Astrid Scholte
246,Chasing the Shadows,Maria V. Snyder
247,Capturing the Devil,Kerri Maniscalco
248,The Monsters of Music,Rebecca F. Kenney
249,Close Kin,Clare B. Dunkle
250,The Chronicles of Vladimir Tod Box Set,Heather Brewer
251,Suck It Up,Brian Meehl
252,Bite With Height,Lucy Felthouse
253,Hollowmen,Amanda Hocking
254,Tamsin,Peter S. Beagle
255,Steel Beauty,Dana Marie Bell
256,The Sweetest Spell,Suzanne Selfors
257,Concisus,Tracy Rozzlynn
258,Bound to the Prince,Deborah Court
259,So Close to You,Rachel       Carter
260,"The Morganville Vampires, #1-9",Rachel Caine
261,Belladonna,Fiona Paul
262,Crown Duel,Sherwood Smith
263,Bond of Fire,Diane Whiteside
264,Stitching Snow,R.C. Lewis
265,The Story of Awkward,R.K. Ryals
266,Paisley,Celia Kyle
267,Losing Me Finding You,Natalie Ward
268,Nobody,Jennifer Lynn Barnes
269,"Kiss Me, I'm Irish",John Blandly
270,Omega: Chosen,Noah Harris
271,A Court of Thorns and Roses eSampler,Sarah J. Maas
272,Raging Sea,Michael Buckley
273,Waistcoats & Weaponry,Gail Carriger
274,The Selection Series 1-3 Box Set,Kiera Cass
275,Silver Silence,Nalini Singh
276,The Binding,Bridget Collins
277,Ogre Enchanted,Gail Carson Levine
278,The Faery Reel: Tales from the Twilight Realm,Ellen Datlow
279,Children of Virtue and Vengeance,Tomi Adeyemi
280,My Wolf Protector,Rose Wynters
281,Ciudad de las almas perdidas,Cassandra Clare
282,The Blood Countess,Tara Moss
283,"Magic Lost, Trouble Found",Lisa Shearin
284,Bloodlust,Larissa Ione
285,Tempest,Julie Cross
286,"The Morganville Vampires, #1-8",Rachel Caine
287,Verita,Tracy Rozzlynn
288,Beauty and the Beast: The Only One Who Didn't Run Away,Wendy Mass
289,The Fetch,Laura Whitcomb
290,The Clearing,Heather Davis
291,Gravity,Melissa  West
292,Pack Alpha,Crissy Smith
293,The Sowing,Steven dos Santos
294,The Last Stormlord,Glenda Larke
295,Angel Eyes,Shannon Dittemore
296,Bond of Darkness,Diane Whiteside
297,Innocent Darkness,Suzanne Lazear
298,Like a Charm,Candace Havens
299,Skyggernes bog,Haidi Wigger Klaris
300,Matched Trilogy Box Set,Ally Condie
301,Maid Marian,Elsa Watson
302,Revelation,Eve Newton
303,The Vanishing Girl,Laura Thalassa
304,Ace It,John Blandly
305,The Queen of Traitors,Laura Thalassa
306,On the Day I Died: Stories from the Grave,Candace Fleming
307,Dragonswan,Sherrilyn Kenyon
308,Born of Fury,Sherrilyn Kenyon
309,The Selection Series Collection,Kiera Cass
310,The Rise of Ren Crown: Volume 3,Anne Zoelle
311,The Ignited Series: Complete Set,Desni Dantone
312,Wandfasted,Laurie Forest
313,Breathless,Heather C. Hudak
314,BZRK,Michael  Grant
315,Fast-Tracked,Tracy Rozzlynn
316,The Last Girl,Kitty Thomas
317,Legacy of a Dreamer,Allie Jean
318,Eve of Darkness,S.J. Day
319,My Wolf King,Rose Wynters
320,Charmed Vengeance,Suzanne Lazear
321,Marked / Betrayed / Chosen / Untamed,P.C. Cast
322,Magic Under Glass,Jaclyn Dolamore
323,Choices,Eve Newton
324,The Moth in the Mirror,A.G. Howard
325,Spellcaster,Claudia Gray
326,Dangerous,Shannon Hale
327,Evil Librarian,Michelle Knudsen
328,War,Jennifer Anne Davis
329,The Unleashing of Ren Crown,Anne Zoelle
330,Wicked Saints,Emily A. Duncan
331,Lady Smoke,Laura Sebastian
332,"Sucks to Be Me: The All-True Confessions of Mina Hamilton, Teen Vampire (maybe)",Kimberly Pauley
333,Red Hood's Revenge,Jim C. Hines
334,Bear Necessities,Dana Marie Bell
335,Letters to Elise: A Peter Townsend Novella,Amanda Hocking
336,Blood Bound,Rachel Vincent
337,Thirst,Claire Farrell
338,Dance of the Red Death,Bethany Griffin
339,Night Witches,L.J. Adlington
340,Deseos de Sangre,Vickie Taylor
341,Fragile Destiny,Suzanne Lazear
342,Thin Air,Rachel Caine
343,Invaded,Melissa Landers
344,Facebook Phantom,Suzanne Sangi
345,The Ties That Bind,Eve Newton
346,Dark Companion,Marta Acosta
347,Beggar Magic,H.L. Burke
348,18 Things,Jamie Ayres
349,The Selection Series Collection,Kiera Cass
350,Win,Vera Nazarian
351,The Cage - Gejagt,Megan Shepherd
352,Huntress,Malinda Lo
353,The Sacrament of Conception,Muriel Lede
354,"Lucinda, Dangerously",Sunny
355,Dark Predator,Christine Feehan
356,House of Shadows,Morgan Hawke
357,Finding Forgiveness,Dana Marie Bell
358,Before Midnight (Once Upon a Time),Cameron Dokey
359,Here,Ella James
360,The Farm,Emily McKay
361,Navarro's Promise,Lora Leigh
362,Rubenesque Rapture,Rose Wynters
363,Total Eclipse,Rachel Caine
364,Trials,Eve Newton
365,The Sun Dwellers,David Estes
366,Die magische Gondel,Eva VÃ¶ller
367,Diary of a Teenage Fairy Godmother,Kathleen Baldwin
368,The Reluctant Godfather,Allison Tebo
369,Aurora Sky,Nikki Jefford
370,"Redwood Pack, Vol. 1",Carrie Ann Ryan
371,Recon,Tarah Benner
372,Cinder,Marissa Meyer
373,Howl's Moving Castle,Diana Wynne Jones
374,Mona Lisa Eclipsing,Sunny
375,Ever After: A Cinderella Story,Wendy Loggia
376,Necromancing the Stone,Lish McBride
377,Dead After Dark,Sherrilyn Kenyon
378,Raging Star,Moira Young
379,Banishing the Dark,Jenn Bennett
380,Secrets,Liz Schulte
381,The Brokenhearted,Amelia Kahaney
382,Numbers,Laurann Dohner
383,Born,Tara Brown
384,The Selection Stories: The Queen & The Favorite,Kiera Cass
385,Redux,A.L. Davroe
386,Miss Peregrine's Peculiar Children Boxed Set (Miss Peregrine's Peculiar Children #1-3),Ransom Riggs
387,I Was a Teenage Popsicle,Bev Katz Rosenbaum
388,Defy the Stars,Claudia Gray
389,The Price Guide to the Occult,Leslye Walton
390,Celeste Nites,Clarrissa Lee Moon
391,Quinn's Undying Rose,Tina Folsom
392,On Fortune's Wheel,Cynthia Voigt
393,Vibes,Amy Kathleen Ryan
394,Rogue,Jess Petosa
395,Unchanged,Jessica Brody
396,Smiley,Laurann Dohner
397,City of Strife,Claudie Arseneault
398,Sinful Cinderella,Anita Valle
399,The Academy,Emmaline Andrews
400,Crown of Feathers,Nicki Pau Preto
401,Aberrant,Ruth  Silver
402,Touch of Seduction,Rhyannon Byrd
403,Into the Flame,Christina Dodd
404,Claiming Their Mate (Feral Attraction),Paige McKellan
405,Annabel,Lauren Oliver
406,Hawkes Harbor,S.E. Hinton
407,Arielle Immortal Passion,Lilian Roberts
408,Followed by Frost,Charlie N. Holmberg
409,Stepsister,Jennifer Donnelly
410,The Caster Chronicles 1-3 Collection,Kami Garcia
411,Sudden Independents,Ted Hill
412,Margarettown,Gabrielle Zevin
413,Illumine,Alivia Anders
414,Raven,Lauren Oliver
415,The War Inside,M. Kircher
416,Dance of Thieves,Mary E. Pearson
417,"Absolute Boyfriend, Vol. 1",Yuu Watase
418,December Moon: Part II of The Raven Saga,Suzy Turner
419,de geesten van het dodenpunt,Eve Bunting
420,Pentimento,Cameron Jace
421,Saven Deception,Siobhan Davis
422,Kill the Queen,Jennifer Estep
423,Unmasked,Eric Summers
424,The Boy in the Smoke,Maureen Johnson
425,Lion's Heat,Lora Leigh
426,"Passion and Poison: Tales of Shape-Shifters, Ghosts, and Spirited Women",Janice M. Del Negro
427,Alphas' Mate,Leah Brooke
428,Tremble,Jus Accardo
429,Rock the Viper,Sammie J.
430,SIN HISTORIAL,Lissa D'Angelo
431,Tandem,Anna Jarzab
432,Kat in Zombieland,Gena Showalter
433,The Star Host,F.T. Lukens
434,Wings: A Fairy Tale,E.D. Baker
435,Garden of Evil,Emma Harrison
436,Powers,Deborah Lynn Jacobs
437,Dark Gold,Christine Feehan
438,The Midnight Dancers,Regina Doman
439,The Chaos of Stars,Kiersten White
440,Forever Viper,Sammie J.
441,The Vanished,Sarah Dalton
442,Starflight,Melissa Landers
443,Wolfen,Madelaine Montague
444,Neva,Sara Grant
445,Omega Mine,Aline Hunter
446,Waterfall,Lauren Kate
447,Three Wishes,Lisa Tawn Bergren
448,Smoked,Mari Mancusi
449,Escaped,Trinity Blacio
450,Night Shift,Lilith Saintcrow
451,Eden,Keary Taylor
452,Alex O'Donnell and the 40 CyberThieves,Regina Doman
453,After Dead: What Came Next in the World of Sookie Stackhouse,Charlaine Harris
454,Releasing the Dragon,Stacie Simpson
455,Witch,Christopher Pike
456,Abandoned,Trinity Blacio
457,Warsworn,Elizabeth Vaughan
458,Jonas,Angela Cameron
459,Sons of Entropy,Christopher Golden
460,Dewitched: The Untold Story of the Evil Queen,E.L. Sarnoff
461,Queen of the Clueless,Mina V. Esguerra
462,Oliver's Hunger,Tina Folsom
463,This Strange and Familiar Place,Rachel       Carter
464,Passion,Lauren Kate
465,The Society of S,Susan Hubbard
466,Vampire Shift,Tim O'Rourke
467,Ghost Roads,Christopher Golden
468,Cipher,Aileen Erin
469,The Girls From Alcyone,Cary Caffrey
470,The Year of Disappearances,Susan Hubbard
471,Sojourner,Maria Rachel Hooley
472,The Girl in the Clockwork Collar,Kady Cross
473,Rapture,Phillip W. Simpson
474,Magician's Ward,Patricia C. Wrede
475,Court of Fives,Kate Elliott
476,Pale Phoenix,Kathryn Reiss
477,Across the Void,NOT A BOOK
478,Fever,Dee Shulman
479,The Season of Risks,Susan Hubbard
480,Revenant,Mel Odom
481,"Delirium Stories: Hana, Annabel, and Raven",Lauren Oliver
482,Maelyn,Anita Valle
483,Curse of the Gargoyle,Tara Nina
484,"Kaleb, Saison I",Myra Eljundir
485,The Forgotten Sisters,Shannon Hale
486,Curio,Evangeline Denmark
487,Song of the Slums,Richard Harland
488,Betrothed,Morgan Rice
489,Cleopatra's Moon,Vicky Alvear Shecter
490,The Hunter's Moon,O.R. Melling
491,Forgotten Sea,Virginia Kantra
492,Linked,Imogen Howson
493,Broken City,D.D. Chant
494,The Final Eclipse,Lynne Ewing
495,Secret Life of a Vampire,Kerrelyn Sparks
496,Bound by the Vampire Queen,Joey W. Hill
497,Snow White & the Huntsman,Evan Daugherty
498,Princess at Sea,Dawn Cook
499,Running Wild,Kristen Middleton
500,Unravel,Imogen Howson
501,The Black Magician Trilogy,Trudi Canavan
502,The Sherwood Ring,Elizabeth Marie Pope
503,Must Love Black,Kelly McClymer
504,Perilous Light,Alyssa Rose Ivy
505,Forbidden,Cheyenne McCray
506,Real Vampires Live Large,Gerry Bartlett
507,The Undead Next Door,Kerrelyn Sparks
508,Bewitched,Cheyenne McCray
509,Deadly Design,Debra Dockter
510,Standoff,Lauren Dane
511,Spellbound,Cheyenne McCray
512,Creatures of Forever,Christopher Pike
513,Freaks and Shrieks,R.L. Stine
514,Beast,Donna Jo Napoli
515,The Ice Dragon,Bianca D'Arc
516,Oblivion,Jennifer L. Armentrout
517,The Princetta,Anne-Laure Bondoux
518,Prince of Spies,Bianca D'Arc
519,The Forgotten Locket,Lisa Mangum
520,Sarah's Journal,Pittacus Lore
521,So Mote it Be,Isobel Bird
522,Planet X,Evangeline Anderson
523,Frogs & French Kisses,Sarah Mlynowski
524,Mothership,Martin Leicht
525,The Devil You Know,Jenna Black
526,Fading Amber,Jaime Reed
527,The Scent of Shadows,Vicki Pettersson
528,Demon's Captive,Stephanie   Snow
529,Parties & Potions,Sarah Mlynowski
530,Megan's Mark,Lora Leigh
531,The Breed Next Door,Lora Leigh
532,Exceptional,Jess Petosa
533,Bras & Broomsticks,Sarah Mlynowski
534,The Tower of Ravens,Kate Forsyth
535,The Moon Riders,Theresa Tomlinson
536,The Cage,Megan Shepherd
537,Princess Nevermore,Dian Curtis Regan
538,Spells & Sleeping Bags,Sarah Mlynowski
539,Voyage of the Snake Lady,Theresa Tomlinson
540,Wolfe's Hope,Lora Leigh
541,Red Handed,Gena Showalter
542,Wolf Tales,Kate Douglas
543,Eyes Ever to the Sky,Katie French
544,Pide un deseo,Tamara Araoz
545,Glimmer,Phoebe Kitanidis
546,Landry Park,Bethany Hagen
547,Blackwing Dragon,T.S. Joyce
548,Roar and Liv,Veronica Rossi
549,Asunder,Jodi Meadows
550,The Lost,Sarah Beth Durst
551,Blackwing Defender,T.S. Joyce
552,The Devil Inside,Jenna Black
553,The Thief,J.R. Ward
554,Word and Breath,Susannah Noel
555,Revealed,Evangeline Anderson
556,Their Fractured Light,Amie Kaufman
557,A Shield of Glass,Bella Forrest
558,Flashfire,Deborah Cooke
559,Pursued,Evangeline Anderson
560,The Fall of the Hotel Dumort,Cassandra Clare
561,Wrecked,Anna Davies
562,Darkfire Kiss,Deborah Cooke
563,Just Ella,Annette K. Larsen
564,Chill Factor,Rachel Caine
565,Fury of the Phoenix,Cindy Pon
566,Devour,Megan Duncan
567,Hour of the Lion,Cherise Sinclair
568,Alex,Lauren Oliver
569,Silver Phoenix,Cindy Pon
570,The Watchtower,Lee  Carroll
571,Alice,Selena Kitt
572,The Blood That Bonds,Christopher Buecheler
573,Lawe's Justice,Lora Leigh
574,After the Fear,Rosanne    Rivers
575,Perception,Lee Strauss
576,Highland Wolf Pact,Selena Kitt
577,Deep Blue Secret,Christie  Anderson
578,Aiden's Charity,Lora Leigh
579,Imprudence,Gail Carriger
580,Fifty Shades of Alice Through the Looking Glass,Melinda DuChamp
581,The Little Android,Marissa Meyer
582,Dark Mirror,M.J. Putney
583,Mortal Sins,Eileen Wilks
584,Fifty Shades of Alice in Wonderland,Melinda DuChamp
585,Unraveling Destiny,Amelia Hutchins
586,The Woodlands,Lauren Nicolle Taylor
587,Jacob's Faith,Lora Leigh
588,A King of Shadow,Bella Forrest
589,Miss Mabel's School for Girls,Katie Cross
590,The Glass Maker's Daughter,V. Briceland
591,No Greater Pleasure,Megan Hart
592,Burning Up Flint,Laurann Dohner
593,Earth Flight,Janet  Edwards
594,Phantom,Christopher Pike
595,Yvette's Haven,Tina Folsom
596,One Bite With A Stranger,Christine Warren
597,Gabriel's Mate,Tina Folsom
598,We Hear the Dead,Dianne K. Salerni
599,Vampire in Denial,Dale Mayer
600,Zane's Redemption,Tina Folsom
601,A Dawn of Guardians,Bella Forrest
602,Clockwise,Elle Strauss
603,Tiger Eye,Marjorie M. Liu
604,Dementia,Jaid Black
605,Arcane Magic,Camilla Chafer
606,FrostFire,ZoÃ« Marriott
607,The Red Heart of Jade,Marjorie M. Liu
608,Hunting Midnight,Emma Holly
609,Pleasures of the Night,Sylvia Day
610,Wrapped,Jennifer Bradbury
611,A Touch of Crimson,Sylvia Day
612,Silver,Cheree Alsop
613,Wolf Tower,Tanith Lee
614,Styx's Storm,Lora Leigh
615,A Dark Kiss of Rapture,Sylvia Day
616,The New Prophecy Box Set,Erin Hunter
617,The Last Twilight,Marjorie M. Liu
618,The Wild Road,Marjorie M. Liu
619,Trance,Kelly Meding
620,The Burn,Annie Oldham
621,After The Ending,Lindsey Fairleigh
622,Soul Song,Marjorie M. Liu
623,A Crystal of Time,Soman Chainani
624,Eye of Heaven,Marjorie M. Liu
625,Winter Falls,Nicole Maggi
626,A Flight of Souls,Bella Forrest
627,Tanner's Scheme,Lora Leigh
628,Timepiece,Myra McEntire
629,Unleashing the Storm,Sydney Croft
630,Exiled,RaShelle Workman
631,Seduced by the Storm,Sydney Croft
632,Taming the Fire,Sydney Croft
633,Tempting the Fire,Sydney Croft
634,Strategic Vulnerability,Mandy M. Roth
635,Taken by Fire,Sydney Croft
636,Descendants,Rico Green
637,The Gryphon: In Which the Extraordinary Correspondence of Griffin & Sabine Is Rediscovered,Nick Bantock
638,Forbidden Magic,Cheyenne McCray
639,Extraordinary,Nancy Werlin
640,Black Blood,Christopher Pike
641,Red Dice,Christopher Pike
642,A Touch of Truth,Bella Forrest
643,The Prince of Neither Here Nor There,SeÃ¡n Cullen
644,A Twist of Fates,Bella Forrest
645,Spindle's End,Robin McKinley
646,Three,Kristen Simmons
647,Wildest Dreams,Kristen Ashley
648,The Revolution of Ivy,Amy Engel
649,Finding Snow,Alexa Riley
650,Deadly Captive,Bianca Sommerland
651,Caradoc of the North Wind,Allan Frewin Jones
652,Taboo,Tara Maya
653,Taunting Krell,Laurann Dohner
654,Revolution,Shelly Crane
655,Catalyst,Shelly Crane
656,Deluge,Lisa Tawn Bergren
657,The King's Pleasure,Kitty Thomas
658,The Girl of Fire and Thorns Complete Collection,Rae Carson
659,Toxic Part One,Addison Moore
660,The Predicteds,Christine Seifert
661,Fire and Ice,Sherrilyn Kenyon
662,The Hunger Games,Suzanne Collins
663,Twilight,Stephenie Meyer
664,City of Bones,Cassandra Clare
665,The Princess Bride,William Goldman
666,Throne of Glass,Sarah J. Maas
667,The Night Circus,Erin Morgenstern
668,Spirit Bound,Richelle Mead
669,The Selection,Kiera Cass
670,Catching Fire,Suzanne Collins
671,Shiver,Maggie Stiefvater
672,Ella Enchanted,Gail Carson Levine
673,Marked,P.C. Cast
674,Cinder,Marissa Meyer
675,Howl's Moving Castle,Diana Wynne Jones
676,Delirium,Lauren Oliver
677,Graceling,Kristin Cashore
678,Stardust,Neil Gaiman
679,Allegiant,Veronica Roth
680,Legend,Marie Lu
681,Beautiful Creatures,Kami Garcia
682,Obsidian,Jennifer L. Armentrout
683,Shatter Me,Tahereh Mafi
684,Evermore,Alyson Noel
685,Matched,Ally Condie
686,"The Selection Series 0.5, 1-2 Box Set",Kiera Cass
687,The Host,Stephenie Meyer
688,Lover Awakened,J.R. Ward
689,The 5th Wave,Rick Yancey
690,Torment,Lauren Kate
691,Angelfall,Susan Ee
692,The Elite,Kiera Cass
693,Dead to the World,Charlaine Harris
694,Red Queen,Victoria Aveyard
695,The Goose Girl,Shannon Hale
696,Ignite Me,Tahereh Mafi
697,Hunted,P.C. Cast
698,Poison Study,Maria V. Snyder
699,Champion,Marie Lu
700,Scarlet,Marissa Meyer
701,Cress,Marissa Meyer
702,Prodigy,Marie Lu
